Timestamp,Hour of Day,Time of Day,RTT (ms),Latency (ms),Jitter (ms),Packet Loss (%),Throughput (Kbps),Bandwidth Utilization (%),Moving Avg RTT,Moving Avg Jitter,Moving Avg Loss,RTT Std Dev,Jitter Std Dev,RTT Trend Slope,Throughput Trend Slope,Timeout Streak,Timeout Count (Last 30s),Time Since Last Timeout (s),RTT P90,Normalized RTT,Normalized Jitter,Normalized Loss,Normalized Throughput
2026-04-26 18:24:21,18,Evening,24.0,24.0,0.0,0.0,10.67,0.1067,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,24.0,0.12,0.0,0.0,0.001067
2026-04-26 18:24:22,18,Evening,32.0,32.0,8.0,0.0,8.0,0.08,28.0,4.0,0.0,4.0,4.0,8.0,-2.67,0,0,-1.0,32.0,0.16,0.08,0.0,0.0008
2026-04-26 18:24:23,18,Evening,28.0,28.0,4.0,0.0,9.14,0.09140000000000001,28.0,4.0,0.0,3.265986323710904,3.265986323710904,2.0,-0.7649999999999997,0,0,-1.0,32.0,0.14,0.04,0.0,0.0009140000000000001
2026-04-26 18:24:24,18,Evening,40.0,40.0,12.0,0.0,6.4,0.064,31.0,6.0,0.0,5.916079783099616,4.47213595499958,4.4,-1.1669999999999998,0,0,-1.0,40.0,0.2,0.12,0.0,0.00064
2026-04-26 18:24:25,18,Evening,16.0,16.0,24.0,0.0,16.0,0.16,28.0,9.6,0.0,8.0,8.2365041127896,-0.8,0.906,0,0,-1.0,40.0,0.08,0.24,0.0,0.0016
2026-04-26 18:24:26,18,Evening,18.0,18.0,2.0,0.0,14.22,0.14220000000000002,26.333333333333332,8.333333333333334,0.0,8.198915917499228,8.034647195462632,-1.8857142857142857,1.1145714285714288,0,0,-1.0,40.0,0.09,0.02,0.0,0.001422
2026-04-26 18:24:27,18,Evening,25.0,25.0,7.0,0.0,10.24,0.10239999999999999,26.142857142857142,8.142857142857142,0.0,7.60504665954638,7.4532556918546184,-1.3214285714285714,0.6432142857142857,0,0,-1.0,40.0,0.125,0.07,0.0,0.001024
2026-04-26 18:24:28,18,Evening,29.0,29.0,4.0,0.0,8.83,0.0883,26.5,7.625,0.0,7.176350047203662,7.105235745561156,-0.6428571428571429,0.27571428571428575,0,0,-1.0,40.0,0.145,0.04,0.0,0.000883
2026-04-26 18:24:29,18,Evening,32.0,32.0,3.0,0.0,8.0,0.08,27.11111111111111,7.111111111111111,0.0,6.983225049986964,6.854754140083192,-0.08333333333333333,0.030500000000000003,0,0,-1.0,40.0,0.16,0.03,0.0,0.0008
2026-04-26 18:24:31,18,Evening,29.0,29.0,3.0,0.0,8.83,0.0883,27.3,6.7,0.0,6.649060083951716,6.618912297349165,0.04242424242424249,-0.050727272727272746,0,0,-1.0,32.0,0.145,0.03,0.0,0.000883
2026-04-26 18:24:32,18,Evening,26.0,26.0,3.0,0.0,9.85,0.0985,27.181818181818183,6.363636363636363,0.0,6.350636071481084,6.399896693381106,-0.02727272727272727,-0.04636363636363639,0,0,-1.0,32.0,0.13,0.03,0.0,0.000985
2026-04-26 18:24:33,18,Evening,29.0,29.0,3.0,0.0,8.83,0.0883,27.333333333333332,6.083333333333333,0.0,6.101001739241042,6.197557762717683,0.048951048951048966,-0.08129370629370633,0,0,-1.0,32.0,0.145,0.03,0.0,0.000883
2026-04-26 18:24:34,18,Evening,23.0,23.0,6.0,0.0,11.13,0.11130000000000001,27.0,6.076923076923077,0.0,5.974303950445415,5.954462301650347,-0.1043956043956044,-0.02390109890109889,0,0,-1.0,32.0,0.115,0.06,0.0,0.001113
2026-04-26 18:24:35,18,Evening,32.0,32.0,9.0,0.0,8.0,0.08,27.357142857142858,6.285714285714286,0.0,5.899238968558849,5.787036885865455,0.05934065934065934,-0.07657142857142858,0,0,-1.0,32.0,0.16,0.09,0.0,0.0008
2026-04-26 18:24:36,18,Evening,29.0,29.0,3.0,0.0,8.83,0.0883,27.466666666666665,6.066666666666666,0.0,5.713920623257632,5.650565360111224,0.08928571428571427,-0.08814285714285715,0,0,-1.0,32.0,0.145,0.03,0.0,0.000883
2026-04-26 18:24:37,18,Evening,16.0,16.0,13.0,0.0,16.0,0.16,26.75,6.5,0.0,6.189709201569974,5.722761571129799,-0.17941176470588235,0.0642205882352941,0,0,-1.0,32.0,0.08,0.13,0.0,0.0016
2026-04-26 18:24:38,18,Evening,37.0,37.0,21.0,0.0,6.92,0.0692,27.352941176470587,7.352941176470588,0.0,6.4711229725567385,6.516415258412343,0.0514705882352941,-0.010514705882352957,0,0,-1.0,37.0,0.185,0.21,0.0,0.000692
2026-04-26 18:24:39,18,Evening,31.0,31.0,6.0,0.0,8.26,0.0826,27.555555555555557,7.277777777777778,0.0,6.344045521608977,6.340395672507404,0.10732714138286893,-0.0392672858617131,0,0,-1.0,37.0,0.155,0.06,0.0,0.000826
2026-04-26 18:24:40,18,Evening,46.0,46.0,15.0,0.0,5.57,0.0557,28.526315789473685,7.684210526315789,0.0,7.422358974233345,6.407665077479655,0.3824561403508772,-0.1017017543859649,0,0,-1.0,40.0,0.23,0.15,0.0,0.000557
2026-04-26 18:24:41,18,Evening,45.0,45.0,1.0,0.0,5.69,0.056900000000000006,29.35,7.35,0.0,8.076354375583083,6.413072586522002,0.5631578947368421,-0.14402255639097744,0,0,-1.0,40.0,0.225,0.01,0.0,0.0005690000000000001
2026-04-26 18:24:42,18,Evening,33.0,33.0,12.0,0.0,7.76,0.0776,29.8,7.95,0.0,8.016233529532432,6.2567963048192645,0.530827067669173,-0.14951879699248122,0,0,-1.0,40.0,0.165,0.12,0.0,0.000776
2026-04-26 18:24:43,18,Evening,23.0,23.0,10.0,0.0,11.13,0.11130000000000001,29.35,8.05,0.0,8.13188170105788,6.272758563821822,0.46842105263157896,-0.14465413533834587,0,0,-1.0,40.0,0.115,0.1,0.0,0.001113
